Verse,Transcription
Luk 19:28,ولما قال هذا تقدم صاعدا الى اورشليم.
Luk 19:29,واذ قرب من بيت فاجي وبيت عنيا عند الجبل الذي يدعى جبل الزيتون ارسل اثنين من تلاميذه
Luk 19:30,قائلا. اذهبا الى القرية التي امامكما وحين تدخلانها تجدان جحشا مربوطا لم يجلس عليه احد من الناس قط. فحلاه وأتيا به.
Luk 19:31,وان سألكما احد لماذا تحلانه فقولا له هكذا ان الرب محتاج اليه.
Luk 19:32,فمضى المرسلان ووجدا كما قال لهما.
Luk 19:33,وفيما هما يحلان الجحش قال لهما اصحابه لماذا تحلان الجحش.
Luk 19:34,فقالا الرب محتاج اليه.
Luk 19:35,وأتيا به الى يسوع وطرحا ثيابهما على الجحش واركبا يسوع.
Luk 19:36,وفيما هو سائر فرشوا ثيابهم في الطريق.
Luk 19:37,ولما قرب عند منحدر جبل الزيتون ابتدأ كل جمهور التلاميذ يفرحون ويسبحون الله بصوت عظيم لاجل جميع القوات التي نظروا.
Luk 19:38,قائلين مبارك الملك الآتي باسم الرب. سلام في السماء ومجد في الاعالي.
Luk 19:39,واما بعض الفريسيين من الجمع فقالوا له يا معلّم انتهر تلاميذك.
Luk 19:40,فاجاب وقال لهم اقول لكم انه ان سكت هؤلاء فالحجارة تصرخ
Luk 19:41,وفيما هو يقترب نظر الى المدينة وبكى عليها
Luk 19:42,قائلا انك لو علمت انت ايضا حتى في يومك هذا ما هو لسلامك. ولكن الآن قد أخفي عن عينيك.
Luk 19:43,فانه ستأتي ايام ويحيط بك اعداؤك بمترسة ويحدقون بك ويحاصرونك من كل جهة.
Luk 19:44,ويهدمونك وبنيك فيك ولا يتركون فيك حجرا على حجر لانك لم تعرفي زمان افتقادك
Luk 19:45,ولما دخل الهيكل ابتدأ يخرج الذين كانوا يبيعون ويشترون فيه
Luk 19:46,قائلا لهم مكتوب ان بيتي بيت الصلاة. وانتم جعلتموه مغارة لصوص
Luk 19:47,وكان يعلّم كل يوم في الهيكل وكان رؤساء الكهنة والكتبة مع وجوه الشعب يطلبون ان يهلكوه.
Luk 19:48,ولم يجدوا ما يفعلون لان الشعب كله كان متعلقا به يسمع منه
Luk 20:1,وفي احدى تلك الايام اذ كان يعلّم الشعب في الهيكل ويبشر وقف رؤساء الكهنة والكتبة مع الشيوخ
Luk 20:2,وكلموه قائلين قل لنا باي سلطان تفعل هذا. او من هو الذي اعطاك هذا السلطان.
Luk 20:3,فاجاب وقال لهم وانا ايضا اسألكم كلمة واحدة فقولوا لي.
Luk 20:4,معمودية يوحنا من السماء كانت ام من الناس.
Luk 20:5,فتآمروا فيما بينهم قائلين ان قلنا من السماء يقول فلماذا لم تؤمنوا به.
Luk 20:6,وان قلنا من الناس فجميع الشعب يرجموننا لانهم واثقون بان يوحنا نبي.
Luk 20:7,فاجابوا انهم لا يعلمون من اين.
Luk 20:8,فقال لهم يسوع ولا انا اقول لكم باي سلطان افعل هذا
Luk 20:9,وابتدأ يقول للشعب هذا المثل. انسان غرس كرما وسلمه الى كرامين وسافر زمانا طويلا.
Luk 20:10,وفي الوقت ارسل الى الكرامين عبدا لكي يعطوه من ثمر الكرم. فجلده الكرامون وارسلوه فارغا.
Luk 20:11,فعاد وارسل عبدا آخر. فجلدوا ذلك ايضا واهانوه وارسلوه فارغا.
Luk 20:12,ثم عاد فارسل ثالثا. فجرحوا هذا ايضا واخرجوه.
Luk 20:13,فقال صاحب الكرم ماذا افعل. أرسل ابني الحبيب. لعلهم اذا رأوه يهابون.
Luk 20:14,فلما رآه الكرامون تآمروا فيما بينهم قائلين هذا هو الوارث. هلموا نقتله لكي يصير لنا الميراث.
Luk 20:15,فاخرجوه خارج الكرم وقتلوه. فماذا يفعل بهم صاحب الكرم.
Luk 20:16,يأتي ويهلك هؤلاء الكرامين ويعطي الكرم لآخرين. فلما سمعوا قالوا حاشا.
Luk 20:17,فنظر اليهم وقال اذا ما هو هذا المكتوب الحجر الذي رفضه البناؤون هو قد صار راس الزاوية.
Luk 20:18,كل من يسقط على ذلك الحجر يترضض. ومن سقط هو عليه يسحقه.
Luk 20:19,فطلب رؤساء الكهنة والكتبة ان يلقوا الايادي عليه في تلك الساعة ولكنهم خافوا الشعب. لانهم عرفوا انه قال هذا المثل عليهم
Luk 20:20,فراقبوه وارسلوا جواسيس يتراءون انهم ابرار لكي يمسكوه بكلمة حتى يسلموه الى حكم الوالي وسلطانه.
Luk 20:21,فسألوه قائلين يا معلّم نعلم انك بالاستقامة تتكلم وتعلّم ولا تقبل الوجوه بل بالحق تعلّم طريق الله.
Luk 20:22,أيجوز لنا ان نعطي جزية لقيصر ام لا.
Luk 20:23,فشعر بمكرهم وقال لهم لماذا تجربونني.
Luk 20:24,أروني دينارا. لمن الصورة والكتابة. فاجابوا وقالوا لقيصر.
Luk 20:25,فقال لهم اعطوا اذا ما لقيصر لقيصر وما للّه للّه.
Luk 20:26,فلم يقدروا ان يمسكوه بكلمة قدام الشعب. وتعجبوا من جوابه وسكتوا
Luk 20:27,وحضر قوم من الصدوقيين الذين يقاومون امر القيامة وسألوه
Luk 20:28,قائلين يا معلّم كتب لنا موسى ان مات لاحد اخ وله امرأة ومات بغير ولد يأخذ اخوه المرأة ويقيم نسلا لاخيه.
Luk 20:29,فكان سبعة اخوة. واخذ الاول امرأة ومات بغير ولد.
Luk 20:30,فأخذ الثاني المرأة ومات بغير ولد.
Luk 20:31,ثم اخذها الثالث وهكذا السبعة. ولم يتركوا ولدا وماتوا.
Luk 20:32,وآخر الكل ماتت المرأة ايضا.
Luk 20:33,ففي القيامة لمن منهم تكون زوجة. لانها كانت زوجة للسبعة.
Luk 20:34,فاجاب وقال لهم يسوع ابناء هذا الدهر يزوجون ويزوجون.
Luk 20:35,ولكن الذين حسبوا اهلا للحصول على ذلك الدهر والقيامة من الاموات لا يزوجون ولا يزوجون.
Luk 20:36,اذ لا يستطيعون ان يموتوا ايضا لانهم مثل الملائكة وهم ابناء الله اذ هم ابناء القيامة.
Luk 20:37,واما ان الموتى يقومون فقد دل عليه موسى ايضا في امر العليقة كما يقول. الرب اله ابراهيم واله اسحق واله يعقوب.
Luk 20:38,وليس هو اله اموات بل اله احياء لان الجميع عنده احياء.
Luk 20:39,فاجاب قوما من الكتبة وقالوا يا معلّم حسنا قلت.
Luk 20:40,ولم يتجاسروا ايضا ان يسألوه عن شيء
Luk 20:41,وقال لهم كيف يقولون ان المسيح ابن داود.
Luk 20:42,وداود نفسه يقول في كتاب المزامير قال الرب لربي اجلس عن يميني
Luk 20:43,حتى اضع اعداءك موطئا لقدميك.
Luk 20:44,فاذا داود يدعوه ربا فكيف يكون ابنه
Luk 20:45,وفيما كان جميع الشعب يسمعون قال لتلاميذه
Luk 20:46,احذروا من الكتبة الذين يرغبون المشي بالطيالسة ويحبون التحيات في الاسواق والمجالس الاولى في المجامع والمتكآت الأولى في الولائم.
Luk 20:47,الذين يأكلون بيوت الارامل ولعلة يطيلون الصلوات. هؤلاء يأخذون دينونة اعظم
Luk 21:1,وتطلع فرأى الاغنياء يلقون قرابينهم في الخزانة.
Luk 21:2,ورأى ايضا ارملة مسكينة ألقت هناك فلسين.
Luk 21:3,فقال بالحق اقول لكم ان هذه الارملة الفقيرة ألقت اكثر من الجميع.
Luk 21:4,لان هؤلاء من فضلتهم ألقوا في قرابين الله. واما هذه فمن اعوازها ألقت كل المعيشة التي لها
Luk 21:5,واذ كان قوم يقولون عن الهيكل انه مزين بحجارة حسنة وتحف قال
Luk 21:6,هذه التي ترونها ستأتي ايام لا يترك فيها حجر على حجر لا ينقض.
Luk 21:7,فسألوه قائلين يا معلّم متى يكون هذا وما هي العلامة عندما يصير هذا.
Luk 21:8,فقال انظروا لا تضلوا. فان كثيرين سيأتون باسمي قائلين اني انا هو والزمان قد قرب. فلا تذهبوا وراءهم.
Luk 21:9,فاذا سمعتم بحروب وقلاقل فلا تجزعوا لانه لا بد ان يكون هذا اولا. ولكن لا يكون المنتهى سريعا.
Luk 21:10,ثم قال لهم تقوم امة على امة ومملكة على مملكة.
Luk 21:11,وتكون زلازل عظيمة في اماكن ومجاعات واوبئة. وتكون مخاوف وعلامات عظيمة من السماء.
Luk 21:12,وقبل هذا كله يلقون ايديهم عليكم ويطردونكم ويسلمونكم الى مجامع وسجون وتساقون امام ملوك وولاة لاجل اسمي.
Luk 21:13,فيؤول ذلك لكم شهادة.
Luk 21:14,فضعوا في قلوبكم ان لا تهتموا من قبل لكي تحتجوا.
Luk 21:15,لاني انا اعطيكم فما وحكمة لا يقدر جميع معانديكم ان يقاوموها او يناقضوها.
Luk 21:16,وسوف تسلمون من الوالدين والاخوة والاقرباء والاصدقاء. ويقتلون منكم.
Luk 21:17,وتكونون مبغضين من الجميع من اجل اسمي.
Luk 21:18,ولكن شعرة من رؤوسكم لا تهلك.
Luk 21:19,بصبركم اقتنوا انفسكم.
Luk 21:20,ومتى رأيتم اورشليم محاطة بجيوش فحينئذ اعلموا انه قد اقترب خرابها.
Luk 21:21,حينئذ ليهرب الذين في اليهودية الى الجبال. والذين في وسطها فليفروا خارجا. والذين في الكور فلا يدخلوها.
Luk 21:22,لان هذه ايام انتقام ليتم كل ما هو مكتوب.
Luk 21:23,وويل للحبالى والمرضعات في تلك الايام لانه يكون ضيق عظيم على الارض وسخط على هذا الشعب.
Luk 21:24,ويقعون بفم السيف ويسبون الى جميع الامم. وتكون اورشليم مدوسة من الامم حتى تكمل ازمنة الامم
Luk 21:25,وتكون علامات في الشمس والقمر والنجوم. وعلى الارض كرب امم بحيرة. البحر والامواج تضج.
Luk 21:26,والناس يغشى عليهم من خوف وانتظار ما يأتي على المسكونة لان قوات السموات تتزعزع.
Luk 21:27,وحينئذ يبصرون ابن الانسان آتيا في سحابة بقوة ومجد كثير.
Luk 21:28,ومتى ابتدأت هذه تكون فانتصبوا وارفعوا رؤوسكم لان نجاتكم تقترب.
Luk 21:29,وقال لهم مثلا. انظروا الى شجرة التين وكل الاشجار.
Luk 21:30,متى افرخت تنظرون وتعلمون من انفسكم ان الصيف قد قرب.
Luk 21:31,هكذا انتم ايضا متى رأيتم هذه الاشياء صائرة فاعلموا ان ملكوت الله قريب.
Luk 21:32,الحق اقول لكم انه لا يمضي هذا الجيل حتى يكون الكل.
Luk 21:33,السماء والارض تزولان ولكن كلامي لا يزول.
Luk 21:34,فاحترزوا لانفسكم لئلا تثقل قلوبكم في خمار وسكر وهموم الحياة فيصادفكم ذلك اليوم بغتة.
Luk 21:35,لانه كالفخ يأتي على جميع الجالسين على وجه كل الارض.
Luk 21:36,اسهروا اذا وتضرعوا في كل حين لكي تحسبوا اهلا للنجاة من جميع هذا المزمع ان يكون وتقفوا قدام ابن الانسان
Luk 21:37,وكان في النهار يعلّم في الهيكل وفي الليل يخرج ويبيت في الجبل الذي يدعى جبل الزيتون.
Luk 21:38,وكان كل الشعب يبكرون اليه في الهيكل ليسمعوه
Luk 22:1,وقرب عيد الفطر الذي يقال له الفصح.
Luk 22:2,وكان رؤساء الكهنة والكتبة يطلبون كيف يقتلونه. لانهم خافوا الشعب
Luk 22:3,فدخل الشيطان في يهوذا الذي يدعى الاسخريوطي وهو من جملة الاثني عشر.
Luk 22:4,فمضى وتكلم مع رؤساء الكهنة وقواد الجند كيف يسلمه اليهم.
Luk 22:5,ففرحوا وعاهدوه ان يعطوه فضة.
Luk 22:6,فواعدهم. وكان يطلب فرصة ليسلمه اليهم خلوا من جمع
Luk 22:7,وجاء يوم الفطير الذي كان ينبغي ان يذبح فيه الفصح.
Luk 22:8,فارسل بطرس ويوحنا قائلا اذهبا واعدّا لنا الفصح لناكل.
Luk 22:9,فقالا له اين تريد ان نعدّ.
Luk 22:10,فقال لهما اذا دخلتما المدينة يستقبلكما انسان حامل جرة ماء. اتبعاه الى البيت حيث يدخل
Luk 22:11,وقولا لرب البيت يقول لك المعلّم اين المنزل حيث آكل الفصح مع تلاميذي.
Luk 22:12,فذاك يريكما عليّة كبيرة مفروشة. هناك اعدا.
Luk 22:13,فانطلقا ووجدا كما قال لهما. فاعدّا الفصح
Luk 22:14,ولما كانت الساعة اتكأ والاثنا عشر رسولا معه.
Luk 22:15,وقال لهم شهوة اشتهيت ان آكل هذا الفصح معكم قبل ان اتألم.
Luk 22:16,لاني اقول لكم اني لا آكل منه بعد حتى يكمل في ملكوت الله.
Luk 22:17,ثم تناول كاسا وشكر وقال خذوا هذه واقتسموها بينكم.
Luk 22:18,لاني اقول لكم اني لا اشرب من نتاج الكرمة حتى يأتي ملكوت الله.
Luk 22:19,واخذ خبزا وشكر وكسر واعطاهم قائلا هذا هو جسدي الذي يبذل عنكم. اصنعوا هذا لذكري.
Luk 22:20,وكذلك الكاس ايضا بعد العشاء قائلا هذه الكاس هي العهد الجديد بدمي الذي يسفك عنكم.
Luk 22:21,ولكن هوذا يد الذي يسلمني هي معي على المائدة.
Luk 22:22,وابن الانسان ماض كما هو محتوم. ولكن ويل لذلك الانسان الذي يسلمه.
Luk 22:23,فابتدأوا يتساءلون فيما بينهم من ترى منهم هو المزمع ان يفعل هذا
Luk 22:24,وكانت بينهم ايضا مشاجرة من منهم يظن انه يكون اكبر.
Luk 22:25,فقال لهم. ملوك الامم يسودونهم والمتسلطون عليهم يدعون محسنين.
Luk 22:26,واما انتم فليس هكذا. بل الكبير فيكم ليكن كالاصغر. والمتقدم كالخادم.
Luk 22:27,لان من هو اكبر. الذي يتكئ ام الذي يخدم. أليس الذي يتكئ. ولكني انا بينكم كالذي يخدم.
Luk 22:28,انتم الذين ثبتوا معي في تجاربي.
Luk 22:29,وانا اجعل لكم كما جعل لي ابي ملكوتا.
Luk 22:30,لتأكلوا وتشربوا على مائدتي في ملكوتي وتجلسوا على كراسي تدينون اسباط اسرائيل الاثني عشر
Luk 22:31,وقال الرب سمعان سمعان هوذا الشيطان طلبكم لكي يغربلكم كالحنطة.
Luk 22:32,ولكني طلبت من اجلك لكي لا يفنى ايمانك. وانت متى رجعت ثبت اخوتك.
Luk 22:33,فقال له يا رب اني مستعد ان امضي معك حتى الى السجن والى الموت.
Luk 22:34,فقال اقول لك يا بطرس لا يصيح الديك اليوم قبل ان تنكر ثلاث مرات انك تعرفني
Luk 22:35,ثم قال لهم حين ارسلتكم بلا كيس ولا مزود ولا احذية هل اعوزكم شيء. فقالوا لا.
Luk 22:36,فقال لهم لكن الآن من له كيس فليأخذه ومزود كذلك. ومن ليس له فليبع ثوبه ويشتر سيفا.
Luk 22:37,لاني اقول لكم انه ينبغي ان يتم فيّ ايضا هذا المكتوب وأحصي مع اثمة. لان ما هو من جهتي له انقضاء.
Luk 22:38,فقالوا يا رب هوذا هنا سيفان. فقال لهم يكفي
Luk 22:39,وخرج ومضى كالعادة الى جبل الزيتون. وتبعه ايضا تلاميذه.
Luk 22:40,ولما صار الى المكان قال لهم صلّوا لكي لا تدخلوا في تجربة.
Luk 22:41,وانفصل عنهم نحو رمية حجر وجثا على ركبتيه وصلّى
Luk 22:42,قائلا يا ابتاه ان شئت ان تجيز عني هذه الكاس. ولكن لتكن لا ارادتي بل ارادتك.
Luk 22:43,وظهر له ملاك من السماء يقويه.
Luk 22:44,واذ كان في جهاد كان يصلّي باشد لجاجة وصار عرقه كقطرات دم نازلة على الارض.
Luk 22:45,ثم قام من الصلاة وجاء الى تلاميذه فوجدهم نياما من الحزن.
Luk 22:46,فقال لهم لماذا انتم نيام. قوموا وصلّوا لئلا تدخلوا في تجربة
Luk 22:47,وبينما هو يتكلم اذا جمع والذي يدعى يهوذا احد الاثني عشر يتقدمهم فدنا من يسوع ليقبله.
Luk 22:48,فقال له يسوع يا يهوذا أبقبلة تسلم ابن الانسان.
Luk 22:49,فلما رأى الذين حوله ما يكون قالوا يا رب انضرب بالسيف.
Luk 22:50,وضرب واحد منهم عبد رئيس الكهنة فقطع اذنه اليمنى.
Luk 22:51,فاجاب يسوع وقال دعوا الى هذا. ولمس اذنه وابرأها
Luk 22:52,ثم قال يسوع لرؤساء الكهنة وقواد جند الهيكل والشيوخ المقبلين عليه. كانه على لص خرجتم بسيوف وعصي.
Luk 22:53,اذ كنت معكم كل يوم في الهيكل لم تمدوا عليّ الايادي. ولكن هذه ساعتكم وسلطان الظلمة
Luk 22:54,فأخذوه وساقوه وادخلوه الى بيت رئيس الكهنة واما بطرس فتبعه من بعيد.
Luk 22:55,ولما اضرموا نارا في وسط الدار وجلسوا معا جلس بطرس بينهم.
Luk 22:56,فرأته جارية جالسا عند النار فتفرست فيه وقالت وهذا كان معه.
Luk 22:57,فانكره قائلا لست اعرفه يا امرأة.
Luk 22:58,وبعد قليل رآه آخر وقال وانت منهم. فقال بطرس يا انسان لست انا.
Luk 22:59,ولما مضى نحو ساعة واحدة اكّد آخر قائلا بالحق ان هذا ايضا كان معه لانه جليلي ايضا.
Luk 22:60,فقال بطرس يا انسان لست اعرف ما تقول. وفي الحال بينما هو يتكلم صاح الديك.
Luk 22:61,فالتفت الرب ونظر الى بطرس. فتذكر بطرس كلام الرب كيف قال له انك قبل ان يصيح الديك تنكرني ثلاث مرات.
Luk 22:62,فخرج بطرس الى خارج وبكى بكاء مرا
Luk 22:63,والرجال الذين كانوا ضابطين يسوع كانوا يستهزئون به وهم يجلدونه.
Luk 22:64,وغطوه وكانوا يضربون وجهه ويسألونه قائلين تنبأ. من هو الذي ضربك.
Luk 22:65,واشياء أخر كثيرة كانوا يقولون عليه مجدفين
Luk 22:66,ولما كان النهار اجتمعت مشيخة الشعب رؤساء الكهنة والكتبة واصعدوه الى مجمعهم
Luk 22:67,قائلين ان كنت انت المسيح فقل لنا. فقال لهم ان قلت لكم لا تصدقون.
Luk 22:68,وان سألت لا تجيبونني ولا تطلقونني.
Luk 22:69,منذ الآن يكون ابن الانسان جالسا عن يمين قوّة الله.
Luk 22:70,فقال الجميع أفانت ابن الله. فقال لهم انتم تقولون اني انا هو.
Luk 22:71,فقالوا ما حاجتنا بعد الى شهادة لاننا نحن سمعنا من فمه
Luk 23:1,فقام كل جمهورهم وجاءوا به الى بيلاطس.
Luk 23:2,وابتدأوا يشتكون عليه قائلين اننا وجدنا هذا يفسد الامة ويمنع ان تعطى جزية لقيصر قائلا انه هو مسيح ملك.
Luk 23:3,فسأله بيلاطس قائلا انت ملك اليهود. فاجابه وقال انت تقول.
Luk 23:4,فقال بيلاطس لرؤساء الكهنة والجموع اني لا اجد علّة في هذا الانسان.
Luk 23:5,فكانوا يشددون قائلين انه يهيج الشعب وهو يعلّم في كل اليهودية مبتدئا من الجليل الى هنا.
Luk 23:6,فلما سمع بيلاطس ذكر الجليل سأل هل الرجل جليلي.
Luk 23:7,وحين علم انه من سلطنة هيرودس ارسله الى هيرودس اذ كان هو ايضا تلك الايام في اورشليم
Luk 23:8,واما هيرودس فلما رأى يسوع فرح جدا لانه كان يريد من زمان طويل ان يراه لسماعه عنه اشياء كثيرة وترجى ان يرى آية تصنع منه.
Luk 23:9,وسأله بكلام كثير فلم يجبه بشيء.
Luk 23:10,ووقف رؤساء الكهنة والكتبة يشتكون عليه باشتداد.
Luk 23:11,فاحتقره هيرودس مع عسكره واستهزأ به والبسه لباسا لامعا ورده الى بيلاطس.
Luk 23:12,فصار بيلاطس وهيرودس صديقين مع بعضهما في ذلك اليوم لانهما كانا من قبل في عداوة بينهما
Luk 23:13,فدعا بيلاطس رؤساء الكهنة والعظماء والشعب
Luk 23:14,وقال لهم. قد قدمتم اليّ هذا الانسان كمن يفسد الشعب. وها انا قد فحصت قدامكم ولم اجد في هذا الانسان علّة مما تشتكون به عليه.
Luk 23:15,ولا هيرودس ايضا. لاني ارسلتكم اليه. وها لا شيء يستحق الموت صنع منه.
Luk 23:16,فانا أؤدبه واطلقه.
Luk 23:17,وكان مضطرا ان يطلق لهم كل عيد واحدا.
Luk 23:18,فصرخوا بجملتهم قائلين خذ هذا واطلق لنا باراباس.
Luk 23:19,وذاك كان قد طرح في السجن لاجل فتنة حدثت في المدينة وقتل.
Luk 23:20,فناداهم ايضا بيلاطس وهو يريد ان يطلق يسوع.
Luk 23:21,فصرخوا قائلين اصلبه اصلبه.
Luk 23:22,فقال لهم ثالثة فاي شر عمل هذا. اني لم اجد فيه علّة للموت. فانا أؤدبه واطلقه.
Luk 23:23,فكانوا يلجّون باصوات عظيمة طالبين ان يصلب. فقويت اصواتهم واصوات رؤساء الكهنة.
Luk 23:24,فحكم بيلاطس ان تكون طلبتهم.
Luk 23:25,فاطلق لهم الذي طرح في السجن لاجل فتنة وقتل الذي طلبوه واسلم يسوع لمشيئتهم
Luk 23:26,ولما مضوا به امسكوا سمعان رجلا قيروانيا كان آتيا من الحقل ووضعوا عليه الصليب ليحمله خلف يسوع.
Luk 23:27,وتبعه جمهور كثير من الشعب والنساء اللواتي كنّ يلطمن ايضا وينحن عليه.
Luk 23:28,فالتفت اليهنّ يسوع وقال. يا بنات اورشليم لا تبكين عليّ بل ابكين على انفسكنّ وعلى اولادكنّ.
Luk 23:29,لانه هوذا ايام تأتي يقولون فيها طوبى للعواقر والبطون التي لم تلد والثدي التي لم ترضع.
Luk 23:30,حينئذ يبتدئون يقولون للجبال اسقطي علينا وللآكام غطينا.
Luk 23:31,لانه ان كانوا بالعود الرطب يفعلون هذا فماذا يكون باليابس.
Luk 23:32,وجاءوا ايضا باثنين آخرين مذنبين ليقتلا معه
Luk 23:33,ولما مضوا به الى الموضع الذي يدعى جمجمة صلبوه هناك مع المذنبين واحدا عن يمينه والآخر عن يساره.
Luk 23:34,فقال يسوع يا ابتاه اغفر لهم لانهم لا يعلمون ماذا يفعلون. واذ اقتسموا ثيابه اقترعوا عليها
Luk 23:35,وكان الشعب واقفين ينظرون. والرؤساء ايضا معهم يسخرون به قائلين خلّص آخرين فليخلّص نفسه ان كان هو المسيح مختار الله.
Luk 23:36,والجند ايضا استهزأوا به وهم يأتون ويقدمون له خلا
Luk 23:37,قائلين ان كنت انت ملك اليهود فخلّص نفسك.
Luk 23:38,وكان عنوان مكتوب فوقه باحرف يونانية ورومانية وعبرانية هذا هو ملك اليهود.
Luk 23:39,وكان واحد من المذنبين المعلقين يجدف عليه قائلا ان كنت انت المسيح فخلّص نفسك وإيانا.
Luk 23:40,فاجاب الآخر وانتهره قائلا أولا انت تخاف الله اذ انت تحت هذا الحكم بعينه.
Luk 23:41,اما نحن فبعدل لاننا ننال استحقاق ما فعلنا. واما هذا فلم يفعل شيئا ليس في محله.
Luk 23:42,ثم قال ليسوع اذكرني يا رب متى جئت في ملكوتك.
Luk 23:43,فقال له يسوع الحق اقول لك انك اليوم تكون معي في الفردوس
Luk 23:44,وكان نحو الساعة السادسة. فكانت ظلمة على الارض كلها الى الساعة التاسعة.
Luk 23:45,واظلمت الشمس وانشقّ حجاب الهيكل من وسطه.
Luk 23:46,ونادى يسوع بصوت عظيم وقال يا ابتاه في يديك استودع روحي. ولما قال هذا اسلم الروح.
Luk 23:47,فلما رأى قائد المئة ما كان مجّد الله قائلا بالحقيقة كان هذا الانسان بارا.
Luk 23:48,وكل الجموع الذين كانوا مجتمعين لهذا المنظر لما ابصروا ما كان رجعوا وهم يقرعون صدورهم.
Luk 23:49,وكان جميع معارفه ونساء كنّ قد تبعنه من الجليل واقفين من بعيد ينظرون ذلك
Luk 23:50,واذا رجل اسمه يوسف وكان مشيرا ورجلا صالحا بارا.
Luk 23:51,هذا لم يكن موافقا لرأيهم وعملهم. وهو من الرامة مدينة لليهود. وكان هو ايضا ينتظر ملكوت الله.
Luk 23:52,هذا تقدم الى بيلاطس وطلب جسد يسوع.
Luk 23:53,وانزله ولفه بكتان ووضعه في قبر منحوت حيث لم يكن احد وضع قط.
Luk 23:54,وكان يوم الاستعداد والسبت يلوح.
Luk 23:55,وتبعته نساء كنّ قد أتين معه من الجليل ونظرن القبر وكيف وضع جسده.
Luk 23:56,فرجعن وأعددن حنوطا واطيابا. وفي السبت استرحن حسب الوصية
Luk 24:1,ثم في اول الاسبوع اول الفجر أتين الى القبر حاملات الحنوط الذي أعددنه ومعهنّ اناس.
Luk 24:2,فوجدن الحجر مدحرجا عن القبر.
Luk 24:3,فدخلن ولم يجدن جسد الرب يسوع.
Luk 24:4,وفيما هنّ محتارات في ذلك اذا رجلان وقفا بهنّ بثياب براقة.
Luk 24:5,واذ كنّ خائفات ومنكسات وجوههنّ الى الارض قالا لهنّ. لماذا تطلبن الحي بين الاموات.
Luk 24:6,ليس هو ههنا لكنه قام. اذكرن كيف كلمكنّ وهو بعد في الجليل
Luk 24:7,قائلا انه ينبغي ان يسلّم ابن الانسان في ايدي اناس خطاة ويصلب وفي اليوم الثالث يقوم.
Luk 24:8,فتذكرن كلامه.
Luk 24:9,ورجعن من القبر واخبرن الاحد عشر وجميع الباقين بهذا كله.
Luk 24:10,وكانت مريم المجدلية ويونّا ومريم ام يعقوب والباقيات معهنّ اللواتي قلن هذا للرسل.
Luk 24:11,فتراءى كلامهنّ لهم كالهذيان ولم يصدقوهنّ.
Luk 24:12,فقام بطرس وركض الى القبر فانحنى ونظر الاكفان موضوعة وحدها فمضى متعجبا في نفسه مما كان
Luk 24:13,واذا اثنان منهم كانا منطلقين في ذلك اليوم الى قرية بعيدة عن اورشليم ستين غلوة اسمها عمواس.
Luk 24:14,وكانا يتكلمان بعضهما مع بعض عن جميع هذه الحوادث.
Luk 24:15,وفيما هما يتكلمان ويتحاوران اقترب اليهما يسوع نفسه وكان يمشي معهما.
Luk 24:16,ولكن أمسكت اعينهما عن معرفته.
Luk 24:17,فقال لهما ما هذا الكلام الذي تتطارحان به وانتما ماشيان عابسين.
Luk 24:18,فاجاب احدهما الذي اسمه كليوباس وقال له هل انت متغرب وحدك في اورشليم ولم تعلم الامور التي حدثت فيها في هذه الايام.
Luk 24:19,فقال لهما وما هي. فقالا المختصة بيسوع الناصري الذي كان انسانا نبيا مقتدرا في الفعل والقول امام الله وجميع الشعب.
Luk 24:20,كيف اسلمه رؤساء الكهنة وحكامنا لقضاء الموت وصلبوه.
Luk 24:21,ونحن كنا نرجو انه هو المزمع ان يفدي اسرائيل. ولكن مع هذا كله اليوم له ثلاثة ايام منذ حدث ذلك.
Luk 24:22,بل بعض النساء منا حيرننا اذ كنّ باكرا عند القبر.
Luk 24:23,ولما لم يجدن جسده أتين قائلات انهنّ رأين منظر ملائكة قالوا انه حيّ.
Luk 24:24,ومضى قوم من الذين معنا الى القبر فوجدوا هكذا كما قالت ايضا النساء واما هو فلم يروه.
Luk 24:25,فقال لهما ايها الغبيان والبطيئا القلوب في الايمان بجميع ما تكلم به الانبياء.
Luk 24:26,أما كان ينبغي ان المسيح يتألم بهذا ويدخل الى مجده.
Luk 24:27,ثم ابتدأ من موسى ومن جميع الانبياء يفسر لهما الأمور المختصة به في جميع الكتب
Luk 24:28,ثم اقتربوا الى القرية التي كانا منطلقين اليها وهو تظاهر كانه منطلق الى مكان ابعد.
Luk 24:29,فالزماه قائلين امكث معنا لانه نحو المساء وقد مال النهار. فدخل ليمكث معهما.
Luk 24:30,فلما اتكأ معهما اخذ خبزا وبارك وكسّر وناولهما.
Luk 24:31,فانفتحت اعينهما وعرفاه ثم اختفى عنهما.
Luk 24:32,فقال بعضهما لبعض ألم يكن قلبنا ملتهبا فينا اذ كان يكلمنا في الطريق ويوضح لنا الكتب.
Luk 24:33,فقاما في تلك الساعة ورجعا الى اورشليم ووجدا الاحد عشر مجتمعين هم والذين معهم
Luk 24:34,وهم يقولون ان الرب قام بالحقيقة وظهر لسمعان.
Luk 24:35,واما هما فكانا يخبران بما حدث في الطريق وكيف عرفاه عند كسر الخبز
Luk 24:36,وفيما هم يتكلمون بهذا وقف يسوع نفسه في وسطهم وقال لهم سلام لكم.
Luk 24:37,فجزعوا وخافوا وظنوا انهم نظروا روحا.
